donor_id,preferred_categories,donation_range_min,donation_range_max,location,preferred_type
D1,"Health,Arts",746,3180,Chennai,Orphanage
D2,"Food,Education",855,2357,Delhi,Orphanage
D3,Education,698,2411,Bangalore,NGO
D4,"Shelter,Health",908,2682,Mumbai,NGO
D5,Food,680,4592,Chennai,Orphanage
D6,Arts,821,4865,Mumbai,NGO
D7,Food,811,3120,Delhi,NGO
D8,"Food,Education",1000,4925,Chennai,Orphanage
D9,"Shelter,Food",571,4585,Chennai,NGO
D10,Education,759,4719,Kolkata,NGO
D11,"Shelter,Arts",964,2839,Delhi,Orphanage
D12,Food,549,3495,Delhi,Orphanage
D13,Education,991,3188,Kolkata,NGO
D14,"Health,Shelter",935,3875,Chennai,NGO
D15,"Food,Arts",714,4669,Kolkata,NGO
D16,Shelter,979,2005,Delhi,Orphanage
D17,Arts,916,3718,Chennai,NGO
D18,Food,818,4069,Chennai,NGO
D19,"Food,Health",646,3268,Bangalore,Orphanage
D20,Health,814,2388,Chennai,NGO
D21,Shelter,885,3368,Kolkata,NGO
D22,Health,593,4510,Mumbai,Orphanage
D23,Shelter,870,4543,Chennai,Orphanage
D24,Education,675,2420,Delhi,NGO
D25,"Health,Food",606,2141,Delhi,NGO
D26,Food,809,2524,Kolkata,Orphanage
D27,Food,773,3799,Kolkata,Orphanage
D28,"Food,Arts",767,2544,Kolkata,NGO
D29,Health,914,3400,Kolkata,NGO
D30,Food,828,2306,Bangalore,NGO
D31,Arts,897,2624,Chennai,Orphanage
D32,Education,580,3279,Mumbai,NGO
D33,"Arts,Shelter",889,3224,Kolkata,Orphanage
D34,"Education,Health",660,4885,Kolkata,NGO
D35,"Education,Health",911,2545,Chennai,NGO
D36,"Food,Education",777,4648,Kolkata,NGO
D37,"Arts,Education",947,4015,Chennai,Orphanage
D38,"Food,Health",776,4830,Chennai,Orphanage
D39,"Education,Shelter",640,2904,Delhi,Orphanage
D40,"Food,Education",923,2643,Delhi,NGO
D41,"Shelter,Food",674,4501,Delhi,NGO
D42,Arts,674,2859,Delhi,NGO
D43,"Shelter,Health",569,4989,Bangalore,Orphanage
D44,"Food,Health",507,2038,Mumbai,NGO
D45,"Shelter,Health",873,2429,Chennai,NGO
D46,Shelter,969,3500,Kolkata,Orphanage
D47,Education,720,3095,Kolkata,NGO
D48,"Food,Education",701,2824,Mumbai,Orphanage
D49,Shelter,626,4365,Kolkata,Orphanage
D50,"Education,Food",650,3864,Kolkata,NGO
D51,Health,928,4903,Chennai,NGO
